id_user,id_region,total_spend
161,1,160.0
961,1,230.0
1574,1,336.0
1690,1,107.0
1695,1,240.0
1729,1,160.0
2073,1,160.0
2316,1,520.0
2443,1,160.0
3067,1,160.0
3579,1,172.5
3698,1,280.0
3864,1,160.0
3983,1,214.0
4285,1,160.0
4400,1,800.0
4417,1,288.0
4444,2,80.0
4475,1,302.5
4511,1,372.5
4541,1,107.0
4542,2,108.0
4585,2,240.0
4817,1,200.0
5222,1,200.0
5340,2,80.0
5370,1,600.0
5448,1,160.0
5512,2,80.0
5603,2,160.0
6151,2,80.0
6168,2,80.0
6295,1,160.0
6645,1,160.0
6763,1,101.5
6767,2,200.0
6774,2,80.0
6824,2,80.0
7065,2,200.0
7222,1,480.0
7281,1,160.0
7314,2,160.0
7341,1,160.0
7498,1,135.5
7695,1,152.0
7699,2,320.0
7772,1,160.0
7820,1,160.0
7921,2,80.0
7925,1,160.0
7971,2,80.0
7993,1,240.0
8138,2,240.0
8143,2,200.0
8299,2,80.0
8309,1,160.0
8405,1,160.0
8743,2,80.0
8760,2,264.5
8858,2,80.0
8902,2,160.0
9155,2,80.0
9247,2,240.0
9511,1,160.0
9516,2,80.0
9602,2,80.0
9655,2,85.5
9717,2,246.5
9770,2,80.0
9858,1,160.0
9880,1,414.0
9982,1,160.0
10023,2,160.0
10104,1,200.0
10201,2,80.0
10202,2,80.0
10292,1,440.0
10404,2,160.0
10763,2,80.0
11123,2,80.0
11179,2,160.0
11202,2,80.0
11253,2,80.0
11695,2,80.0
11711,2,80.0
11950,2,80.0
12060,2,80.0
12100,2,80.0
12123,2,160.0
12490,2,80.0
12545,2,400.0
12726,2,160.0
12777,2,80.0
12869,2,160.0
12870,2,107.0
13168,2,80.0
13173,1,160.0
13261,2,80.0
13308,2,80.0
13473,2,160.0
13509,2,80.0
13853,2,320.0
14187,1,111.5
14383,2,80.0
14393,2,160.0
14464,1,200.0
14498,1,164.5
14629,2,160.0
14736,1,254.0
15307,1,160.0
15410,2,160.0
15469,2,80.0
15660,2,80.0
15841,3,160.0
15851,2,160.0
15853,2,159.0
15864,1,276.0
15981,2,80.0
16102,2,80.0
16161,2,81.0
16262,1,200.0
16290,2,160.0
16355,2,80.0
16502,2,80.0
16610,2,80.0
16716,2,160.0
16793,2,89.5
16825,2,80.0
16876,2,89.0
17102,2,80.0
17475,2,240.0
17505,2,80.0
17648,2,400.0
17667,1,172.5
17757,2,160.0
17806,2,123.0
17878,1,200.0
17950,2,80.0
18163,2,80.0
18204,2,80.0
18271,1,880.0
18454,2,80.0
18594,2,80.0
18605,3,292.5
18901,2,680.0
18915,2,160.0
18979,2,80.0
19264,1,2600.0
19352,3,320.0
19384,2,160.0
19398,3,320.0
19889,1,400.0
19912,2,135.0
20138,1,111.5
20273,2,169.0
20286,2,82.5
20314,2,294.0
20372,1,200.0
20451,2,320.0
20741,2,120.5
20795,2,400.0
20837,2,80.0
20844,1,160.0
20924,1,600.0
20938,2,240.0
21096,2,80.0
21109,2,80.0
21236,2,160.0
21337,2,160.0
21357,2,307.0
21382,2,80.0
21397,2,80.0
21455,2,80.0
21550,3,160.0
21623,2,80.0
21696,2,80.0
21774,2,200.0
21857,1,160.0
21861,2,240.0
21890,1,1600.0
22013,2,80.0
22073,2,200.0
22108,2,160.0
22232,2,240.0
22262,2,134.0
22334,2,200.0
22355,2,92.5
22358,2,80.0
22417,2,160.0
22449,1,200.0
22602,2,80.0
22618,2,80.0
22824,2,84.5
22828,2,76.0
22866,2,240.0
22868,2,80.0
23037,3,160.0
23083,1,160.0
23175,2,160.0
23385,2,200.0
23441,2,80.0
23664,1,440.0
23994,1,160.0
24057,2,80.0
24119,2,160.0
24346,2,80.0
24401,1,372.5
24607,2,200.0
24787,2,160.0
24965,2,80.0
24979,2,99.0
24996,2,80.0
25140,1,160.0
25163,1,440.0
25261,2,720.0
25324,2,80.0
25653,2,80.0
25726,2,80.0
25787,2,80.0
25849,2,107.0
26042,2,1018.5
26102,2,140.5
26223,2,160.0
26428,1,95.0
26506,2,240.0
26579,2,107.0
26776,2,80.0
26980,2,267.0
27135,2,200.0
27152,1,325.0
27202,2,80.0
27388,2,160.0
27592,2,80.0
27835,2,80.0
27971,2,80.0
28024,2,200.0
28089,2,80.0
28259,2,80.0
28297,2,80.0
28328,2,160.0
28444,2,80.0
28766,1,252.0
28866,3,680.0
29225,3,160.0
29263,2,1120.0
29286,2,80.0
29342,3,240.0
29376,2,160.0
29428,1,200.0
29649,2,212.5
30332,2,158.0
30362,3,200.0
30363,2,80.0
30993,3,130.0
31122,2,172.5
31326,2,80.0
31328,1,400.0
31476,3,200.0
31552,2,80.0
31633,1,600.0
31768,2,80.0
31864,2,200.0
32241,2,160.0
32299,2,80.0
32574,3,160.0
32596,3,428.0
32660,3,240.0
32698,1,252.5
32913,2,240.0
32976,3,138.5
33012,2,80.0
33050,2,80.0
33230,2,108.0
33266,2,80.0
33285,1,200.0
33294,2,160.0
33313,3,813.5
33430,2,240.0
33573,2,80.0
33585,2,81.0
33589,2,80.0
33596,2,80.0
33601,2,80.0
33861,2,145.5
33997,2,92.5
34227,2,320.0
34680,2,200.0
34802,2,320.0
34847,2,100.0
34928,2,80.0
35013,2,80.0
35473,2,160.0
35619,1,200.0
35621,1,200.0
35722,2,160.0
35793,2,160.0
35812,2,240.0
35818,2,80.0
35877,1,160.0
35961,3,160.0
35975,2,80.0
35982,3,601.5
36173,2,80.0
36211,2,160.0
36219,1,240.0
36229,2,80.0
36233,1,107.0
36238,2,116.5
36273,1,135.0
36290,2,160.0
36296,2,240.0
36498,2,80.0
36509,2,160.0
36539,2,80.0
36584,2,80.0
36636,2,80.0
36806,3,240.0
36999,1,1000.0
37000,2,80.0
37157,2,240.0
37319,1,172.5
37422,2,80.0
37512,2,158.0
37528,2,240.0
37621,2,80.0
37831,2,80.0
37871,1,320.0
37921,2,107.0
38192,3,160.0
38267,2,160.0
38638,1,280.0
38653,1,160.0
38780,1,106.0
38861,2,80.0
39067,2,80.0
39074,1,319.0
39153,1,103.5
39276,1,92.5
39454,2,80.0
39472,2,320.0
39483,2,80.0
39737,2,800.0
39978,2,80.0
40027,1,160.0
40056,2,80.0
40299,2,80.0
40316,2,80.0
40317,1,160.0
40427,3,188.0
40528,1,160.0
40552,2,92.5
40669,2,160.0
40764,2,80.0
40842,2,81.0
40984,2,240.0
41096,2,80.0
41098,3,160.0
41155,2,80.0
41332,2,240.0
41388,2,134.0
41517,2,80.0
41599,2,80.0
41613,2,80.0
41745,3,475.0
41880,2,80.0
41952,1,160.0
41993,1,240.0
42004,2,80.0
42052,2,229.0
42083,2,80.0
42677,1,240.0
43111,2,80.0
43540,3,240.0
44157,2,80.0
44634,3,640.0
44864,2,200.0
44933,2,80.0
45053,3,240.0
45153,2,80.0
45180,1,94.5
45247,3,640.0
45422,2,80.0
45543,3,160.0
45979,3,200.0
46242,1,214.0
46275,2,81.0
46362,2,80.0
46414,2,560.0
47164,3,320.0
47195,2,80.0
47539,2,80.0
47642,2,80.0
47947,2,80.0
48250,2,87.0
48753,2,80.0
48993,1,320.0
49651,2,80.0
50044,2,80.0
50257,2,80.0
50882,2,160.0
51613,2,80.0
52238,1,814.0
52588,3,160.0
52658,1,200.0
53114,2,80.0
53159,2,200.0
53284,2,160.0
53821,1,101.5
54160,2,187.0
54610,2,2480.0
54784,1,212.5
54824,1,187.0
54836,1,400.0
55085,2,111.5
55157,1,107.0
55219,1,102.0
55309,1,200.0
55313,1,400.0
55332,2,640.0
55387,2,80.0
55462,2,80.0
55589,3,560.0
55610,2,80.0
55628,1,640.0
55646,1,640.0
55690,2,81.0
55765,3,160.0
55900,3,440.0
55914,2,80.0
55914,3,160.0
56158,1,103.5
56372,1,105.0
56490,1,491.0
56518,2,112.5
56549,2,320.0
56681,3,240.0
56815,1,455.0
56833,2,117.5
56842,2,80.0
56852,1,240.0
56891,2,80.0
56892,2,80.0
56904,2,110.0
57005,3,160.0
57039,1,480.0
57176,2,200.0
57479,1,240.0
57685,2,80.0
57721,2,80.0
57747,1,400.0
57850,2,107.0
57860,2,200.0
58166,2,80.0
58205,2,80.0
58227,1,400.0
58251,3,160.0
58260,2,80.0
58264,3,800.0
58397,2,80.0
58419,3,200.0
58463,2,80.0
58466,2,80.0
58584,1,840.0
58698,2,200.0
58703,2,80.0
58724,1,92.5
58749,2,80.0
58816,2,160.0
58837,2,80.0
58877,2,480.0
58895,2,80.0
59017,1,200.0
59174,2,77.0
59194,1,200.0
59316,1,1680.5
59389,2,400.0
59411,2,80.0
59469,2,160.0
59498,2,80.0
59518,1,600.0
59547,2,280.0
59637,2,201.0
59675,2,92.5
59701,1,94.5
59811,2,160.0
59868,1,680.0
59894,2,80.0
59967,2,80.0
59975,2,80.0
60088,1,92.5
60163,2,160.0
60293,3,160.0
60352,1,320.0
60369,2,80.0
60409,2,80.0
60411,2,160.0
60421,2,80.0
60468,1,101.5
60497,2,80.0
60710,1,400.0
60722,2,86.0
60724,1,238.5
60742,1,307.0
60751,2,80.0
60965,2,80.0
60971,3,160.0
60991,1,160.0
61025,2,600.0
61236,2,80.0
61241,1,480.0
61386,2,160.0
61537,3,480.0
61570,2,90.5
61593,2,80.0
61601,2,224.5
61691,3,240.0
61698,2,80.0
61766,2,84.5
61839,2,80.0
61877,3,334.0
62026,2,92.5
62066,2,160.0
62084,2,200.0
62158,3,160.0
62299,2,80.0
62372,2,80.0
62432,2,200.0
62434,2,80.0
62443,2,160.0
62446,2,240.0
62586,2,160.0
62654,2,80.0
62700,1,104.0
62800,1,240.0
62867,1,258.0
62889,2,80.0
63000,2,80.0
63016,3,240.0
63051,3,119.5
63345,3,240.0
63420,1,1200.0
63525,2,80.0
63619,2,160.0
63643,2,880.0
63695,2,80.0
63713,2,160.0
63746,2,80.0
63759,3,400.0
63784,1,161.0
63805,2,80.0
63861,3,889.0
63959,1,92.5
63980,2,160.0
64110,1,160.0
64158,1,324.0
64186,1,107.0
64193,2,80.0
64201,2,80.0
64330,1,160.0
64513,3,200.0
64544,1,400.0
64571,1,240.0
64615,1,160.0
64680,1,480.0
64740,2,96.0
64801,2,80.0
64802,2,80.0
64851,1,91.5
64881,3,160.0
64914,2,160.0
64944,2,98.0
65017,2,92.5
65045,3,299.5
65051,1,320.0
65077,1,93.5
65136,2,80.0
65205,1,103.5
65227,1,640.0
65285,2,93.5
65315,2,91.5
65322,2,84.5
65401,2,80.0
65422,2,160.0
65501,1,109.5
65511,1,160.0
65548,3,200.0
65549,3,160.0
65551,3,160.0
65650,2,80.0
65699,1,800.0
65725,1,97.0
65756,2,80.0
65785,2,80.0
65802,2,285.0
65821,3,200.0
65828,3,200.0
65869,1,267.0
65988,3,157.5
65999,3,210.5
66092,2,108.0
66109,2,80.0
66384,2,160.0
66409,2,80.0
66430,1,107.0
66456,3,200.0
66459,2,80.0
66470,1,320.0
66475,2,80.0
66604,2,280.0
66661,2,80.0
66665,2,80.0
66697,2,160.0
66724,1,240.0
66786,3,160.0
66834,2,80.0
66864,2,400.0
66891,2,172.5
66893,3,200.0
66932,2,80.0
66987,3,450.5
67006,2,279.5
67024,2,108.0
67092,1,112.5
67109,1,400.0
67186,2,187.0
67230,2,80.0
67240,1,107.0
67274,1,94.0
67287,3,313.5
67292,2,187.0
67338,3,321.0
67347,1,160.0
67349,2,200.0
67373,3,240.0
67457,1,160.0
67469,2,80.0
67509,1,160.0
67537,2,200.0
67548,2,160.0
67594,1,133.0
67597,1,215.0
67651,2,80.0
67680,2,85.5
67720,2,80.0
67748,2,80.0
67779,2,80.0
67848,2,80.0
67872,2,80.0
67903,2,160.0
67934,3,160.0
67947,2,160.0
67968,2,200.0
68020,2,106.0
68084,2,200.0
68111,2,134.0
68136,1,240.0
68160,1,360.0
68258,2,80.0
68280,2,80.0
68281,1,960.0
68290,2,80.0
68352,2,80.0
68370,1,117.0
68382,2,89.0
68383,1,320.0
68417,2,80.0
68418,2,640.0
68425,2,80.0
68453,1,200.0
68529,1,240.0
68563,2,172.5
68581,3,200.0
68592,2,80.0
68604,2,360.0
68615,2,80.0
68620,1,160.0
68629,1,107.0
68635,2,80.0
68699,2,80.0
68753,2,80.0
68791,2,200.0
68797,2,80.0
68820,3,520.0
68864,1,160.0
68923,3,294.0
68929,2,80.0
68932,2,118.0
68937,2,94.5
68958,2,84.5
68990,2,91.5
69010,1,107.0
69034,1,187.0
69035,2,93.5
69054,3,320.0
69087,5,320.0
69104,2,80.0
69151,3,130.0
69154,1,240.0
69232,3,280.0
69249,1,400.0
69300,2,80.0
69317,1,200.0
69394,2,160.0
69452,1,97.0
69457,2,80.0
69461,2,107.0
69472,1,160.0
69480,2,80.0
69483,2,80.0
69561,1,248.5
69619,2,80.0
69634,2,80.0
69658,3,839.0
69698,2,80.0
69706,1,93.5
69706,2,160.0
69712,3,320.0
69723,1,240.0
69797,2,80.0
69812,3,640.0
69844,2,240.0
69870,2,80.0
69877,2,80.0
69888,3,125.0
69893,5,1200.0
69910,2,80.0
69917,1,178.0
69919,2,80.0
69966,2,240.0
69988,2,80.0
69995,3,244.5
70040,1,440.0
70086,1,600.0
70090,1,240.0
70100,1,160.0
70105,2,80.0
70151,3,119.5
70189,1,160.0
70228,2,80.0
70229,2,800.0
70234,1,160.0
70249,1,142.5
70251,1,200.0
70269,2,160.0
70404,2,134.0
70435,3,132.0
70441,1,320.0
70454,2,240.0
70455,1,399.5
70473,1,320.0
70487,3,192.5
70527,2,80.0
70532,2,80.0
70544,1,187.0
70550,2,80.0
70597,2,80.0
70600,2,80.0
70603,2,80.0
70666,2,80.0
70681,1,200.0
70686,2,400.0
70805,2,80.0
70880,3,257.0
70884,3,138.5
71018,2,200.0
71044,1,93.5
71053,2,107.0
71087,2,545.0
71104,2,80.0
71116,1,160.0
71141,2,93.5
71172,3,127.0
71202,3,160.0
71228,1,400.0
71245,2,80.0
71249,1,200.0
71255,2,80.0
71278,2,80.0
71303,2,720.0
71318,3,318.5
71345,3,356.0
71370,2,80.0
71389,1,160.0
71428,1,320.0
71432,2,80.0
71513,2,160.0
71524,1,400.0
71533,3,388.5
71557,2,200.0
71570,1,164.5
71600,1,111.5
71614,1,1080.0
71618,3,200.0
71664,1,134.0
71687,2,74.5
71692,2,160.0
71742,1,107.0
71789,1,155.5
71802,2,80.0
71829,1,667.0
71832,1,600.0
71853,3,187.0
71877,1,400.0
71879,1,160.0
71904,3,146.5
71915,3,320.0
71917,2,80.0
71923,3,162.0
71934,2,200.0
71946,3,240.0
71952,2,258.0
71955,2,89.0
71963,1,91.5
71987,2,160.0
71999,1,252.5
72043,2,80.0
72106,3,240.0
72129,3,120.5
72143,2,760.0
72180,2,267.0
72185,3,827.5
72194,1,92.5
72204,1,200.0
72226,1,160.0
72251,1,560.0
72262,1,205.0
72310,3,200.0
72324,2,240.0
72328,2,199.0
72441,2,160.0
72473,1,119.5
72499,2,160.0
72535,1,160.0
72541,1,102.5
72557,1,200.0
72570,2,80.0
72620,3,187.0
72635,3,146.5
72650,3,160.0
72657,1,302.5
72722,1,93.5
72730,1,130.0
72751,2,160.0
72799,2,80.0
72837,1,197.5
72848,1,212.0
72904,2,185.0
72938,3,160.0
72944,1,440.0
72947,1,240.0
72961,1,187.5
72979,1,160.0
72987,2,200.0
73024,2,164.5
73033,1,306.0
73060,3,320.0
73108,1,117.5
73114,2,80.0
73119,2,87.5
73127,1,400.0
73129,2,80.0
73183,2,80.0
73196,3,160.0
73207,2,80.0
73227,2,80.0
73253,1,139.5
73255,2,80.0
73281,1,320.0
73292,1,125.0
73296,1,1082.0
73298,1,1680.0
73322,2,432.0
73363,1,200.0
73388,1,160.0
73516,5,1040.0
73522,1,262.5
73533,1,160.0
73565,2,400.0
73587,2,240.0
73590,5,970.5
73604,2,80.0
73645,2,160.0
73675,1,262.5
73727,2,102.5
73787,2,80.0
73797,2,680.0
73797,3,160.0
73800,2,80.0
73804,2,80.0
73811,3,147.5
73821,2,200.0
73865,1,92.5
73866,2,381.5
73901,1,160.0
73908,1,279.5
73958,1,160.0
74010,1,1000.0
74070,3,172.5
74075,1,224.0
74086,1,280.0
74088,3,180.0
74129,1,360.0
74136,1,560.0
74150,2,280.0
74161,2,80.0
74180,3,164.5
74186,2,118.5
74199,3,320.0
74210,1,92.5
74228,1,320.0
74272,3,560.0
74307,3,270.0
74329,3,160.0
74337,1,1012.0
74351,2,80.0
74372,2,80.0
74398,1,92.5
74408,1,107.0
74409,2,80.0
74423,2,80.0
74429,1,200.0
74462,1,240.0
74465,1,267.0
74490,1,160.0
74496,1,226.5
74502,3,171.5
74507,1,132.0
74509,1,160.0
74528,3,160.0
74538,2,160.0
74540,3,360.0
74575,1,160.0
74584,1,200.0
74658,1,429.0
74665,3,200.0
74695,3,119.5
74697,2,84.5
74718,1,107.0
74738,1,160.0
74759,1,200.0
74869,1,212.5
74875,2,80.0
74908,2,80.0
74916,1,92.5
74933,3,160.0
74935,1,347.0
74942,1,94.5
74951,1,320.0
74969,1,160.0
74969,3,587.0
74985,3,214.0
74986,3,332.5
74993,5,240.0
75035,1,134.5
75058,2,99.0
75101,2,107.5
75124,1,104.0
75134,2,160.0
75151,1,1040.0
75176,1,240.0
75210,1,160.0
75215,1,286.0
75239,1,240.0
75240,3,160.0
75286,3,160.5
75336,2,240.0
75358,1,164.5
75363,3,289.0
75388,3,214.0
75417,2,160.0
75428,1,200.0
75435,1,187.5
75463,5,240.0
75475,1,240.0
75506,1,117.5
75563,1,187.0
75589,2,160.0
75622,3,119.0
75624,2,200.0
75696,2,81.0
75722,1,160.0
75746,1,105.0
75747,1,107.0
75750,1,800.0
75782,2,880.0
75807,2,80.0
75822,1,160.0
75898,1,106.0
75943,1,119.5
76009,1,187.0
76030,1,139.5
76030,3,240.0
76080,2,75.0
76205,1,364.0
76267,2,134.0
76268,3,178.0
76270,3,320.0
76282,2,200.0
76320,6,80.0
76395,2,240.0
76400,2,810.0
76444,1,200.0
76513,2,116.0
76542,2,240.0
76565,1,160.0
76620,1,200.0
76660,2,80.0
76668,2,80.0
76689,1,240.0
76814,1,160.0
76900,3,118.0
76904,1,107.0
76979,1,160.0
77012,2,80.0
77026,5,627.0
77040,3,240.0
77043,5,240.0
77046,1,146.5
77118,1,320.0
77163,1,92.5
77166,2,400.0
77172,1,160.0
77184,1,160.0
77224,5,111.5
77289,3,600.0
77290,2,108.0
77343,2,80.0
77344,1,227.0
77378,3,331.5
77387,3,320.0
77434,2,200.0
77454,1,400.0
77479,2,108.0
77480,3,169.0
77501,1,172.5
77545,1,160.0
77556,5,280.0
77571,5,200.0
77572,2,80.0
77591,3,332.5
77599,1,200.0
77677,1,166.5
77685,3,188.0
77754,1,112.5
77755,3,200.0
77793,1,92.5
77821,3,160.0
77828,2,160.0
77833,1,175.0
77842,2,160.0
77844,2,600.0
77848,5,200.0
77872,6,132.0
77880,3,560.0
77905,3,115.5
78039,1,240.0
78063,1,328.0
78096,2,160.0
78140,2,80.0
78180,5,126.5
78194,2,80.0
78213,3,280.0
78263,2,212.0
78276,1,97.0
78288,1,200.0
78313,3,320.0
78315,3,280.0
78353,1,240.0
78356,3,539.0
78412,2,80.0
78441,5,118.5
78460,3,160.0
78484,5,391.0
78500,2,80.0
78502,5,200.0
78549,2,80.0
78565,2,80.0
78576,5,103.5
78599,2,106.5
78603,1,160.0
78609,5,160.0
78610,5,374.0
78626,3,160.0
78634,2,431.0
78637,5,320.0
78663,5,219.0
78741,2,80.0
78767,5,172.5
78793,1,187.0
78846,5,200.0
78850,5,200.0
78857,5,152.0
78904,2,80.0
78917,1,180.5
78964,5,400.0
78970,5,161.0
78992,2,107.0
79002,5,244.5
79049,2,80.0
79062,5,107.0
79072,3,240.0
79074,5,960.0
79092,5,240.0
79093,5,560.0
79096,5,146.5
79183,5,400.0
79195,1,280.0
79251,5,160.0
79298,2,160.0
79351,2,80.0
79359,5,240.0
79366,2,80.0
79389,5,320.0
79397,5,320.0
79403,1,97.0
79404,1,320.0
79411,5,320.0
79420,2,240.0
79436,2,80.0
79453,2,80.0
79464,1,200.0
79465,2,80.0
79491,3,160.0
79491,6,80.0
79585,5,292.5
79617,5,200.0
79650,2,92.5
79690,3,123.0
79715,2,80.0
79760,5,240.0
79770,2,200.0
79798,5,160.0
79799,5,400.0
79868,2,97.0
79880,1,160.0
79888,5,480.0
79900,5,107.0
79906,5,400.0
79925,1,123.0
79932,2,100.0
79933,5,164.5
79939,5,187.0
79991,1,215.0
80001,5,164.5
80043,2,108.0
80059,5,320.0
80066,1,199.5
